Wavelength (nm)	Intensity
208.452130	393.955000
208.466090	338.599000
208.480070	500.025000
208.494030	309.781000
208.508000	126.445000
208.521970	134.772000
208.535930	196.174000
208.549900	205.726000
208.563870	186.574000
208.577840	162.015000
208.591810	179.440000
208.605770	284.154000
208.619750	225.631000
208.633730	181.366000
208.647690	206.639000
208.661670	201.472000
208.675640	191.601000
208.689610	261.197000
208.703580	236.126000
208.717560	210.165000
208.731540	223.689000
208.745510	250.528000
208.759490	263.474000
208.773470	429.470000
208.787450	435.249000
208.801420	373.362000
208.815400	85.964200
208.829380	140.960000
208.843350	68.759300
208.857330	78.812500
208.871310	61.819900
208.885280	110.754000
208.899280	317.337000
208.913250	130.361000
208.927230	233.477000
208.941210	148.311000
208.955200	214.840000
208.969180	242.829000
208.983170	223.405000
208.997150	249.497000
209.011140	230.506000
209.025120	220.424000
209.039110	104.747000
209.053090	5.936600
209.067080	-21.626000
209.081070	9.249990
209.095050	87.675300
209.109040	295.572000
209.123030	404.451000
209.137020	348.169000
209.151000	607.495000
209.164990	634.692000
209.178990	521.162000
209.192980	673.443000
209.206970	404.124000
209.220960	262.045000
209.234950	263.849000
209.248950	351.400000
209.262940	258.538000
209.276930	134.953000
209.290920	139.004000
209.304930	158.849000
209.318920	113.000000
209.332920	43.755000
209.346910	136.733000
209.360920	47.340900
209.374910	278.033000
209.388900	371.987000
209.402910	300.916000
209.416900	162.726000
209.430910	287.258000
209.444900	217.951000
209.458910	166.142000
209.472900	51.411600
209.486910	74.688300
209.500900	89.316900
209.514910	139.507000
209.528920	145.809000
209.542920	201.520000
209.556920	299.455000
209.570920	343.990000
209.584930	159.559000
209.598940	132.388000
209.612950	95.321200
209.626950	173.804000
209.640960	57.738400
209.654970	-29.016200
209.668980	70.895900
209.682980	287.508000
209.696990	398.816000
209.711000	285.098000
209.725010	240.361000
209.739010	172.358000
209.753020	140.088000
209.767040	259.220000
209.781050	206.715000
209.795060	164.750000
209.809080	220.145000
209.823090	227.609000
209.837100	132.875000
209.851120	-24.956600
209.865130	257.864000
209.879150	280.798000
209.893160	207.896000
209.907180	283.433000
209.921200	388.411000
209.935210	315.828000
209.949230	284.587000
209.963260	236.604000
209.977260	116.051000
209.991290	225.071000
