element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""431.9629""","=""0.0010""","=""19""","=""1.49e+08""",B,"=""22.9793029""","=""25.8487467""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T6172,T6632""","=""L10621,L3448""",
C,2,"=""432.1647""","=""0.0007""","=""24""","=""4.48e+07""",B,"=""23.116074""","=""25.984173""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""432.3102""","=""0.0007""","=""30w,bl(Co II)""","=""2.74e+07""",B+,"=""23.114048""","=""25.981185""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",,"=""T2440""","=""L1176""",
O,2,"=""432.5758""","=""0.0010""","=""15""","=""2.84e+07""",B,"=""22.9662478""","=""25.8316247""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",,"=""T6172,T6632""","=""L10621""",
C,2,"=""432.5827""","=""0.0007""","=""29""","=""1.51e+08""",B,"=""23.118841""","=""25.984173""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""432.6156""","=""0.0007""","=""38""","=""1.40e+08""",B,"=""23.116074""","=""25.981185""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""433.6862""","=""0.0010""","=""17""","=""6.12e+07""",B,"=""22.9793029""","=""25.8373471""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""434.5560""","=""0.0010""","=""19""","=""1.59e+08""",B,"=""22.9793029""","=""25.8316247""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""434.7223""","=""0.0010""","=""10*""","=""4.76e+07""",B+,"=""25.661218""","=""28.512453""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621""",
O,2,"=""434.7420""","=""0.0010""","=""19""","=""3.73e+08""",B+,"=""25.661347""","=""28.512453""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621,L3448""",
O,2,"=""434.9426""","=""0.0010""","=""23""","=""4.05e+08""",B,"=""22.9989602""","=""25.8487467""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""435.1262""","=""0.0010""","=""21""","=""5.93e+08""",B+,"=""25.661218""","=""28.509803""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T6172n""","=""L10621,L3448""",
O,2,"=""435.7252""","=""0.0010""","=""10*""","=""2.18e+05""",C,"=""25.8487467""","=""28.6934114""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""",,"=""T6172""","=""L10621""",
O,2,"=""435.9392""","=""0.0010""","=""7""","=""8.64e+06""",C+,"=""26.2254001""","=""29.0686699""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172n""","=""L10621""",
O,2,"=""436.6892""","=""0.0010""","=""20""","=""1.57e+08""",B,"=""22.9989602""","=""25.8373471""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
C,2,"=""436.8047""","=""0.0017""","=""30h,u""","=""3.5e+07""",C,"=""24.656151""","=""27.493785""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""2D""","=""3/2""",,"=""T10528""","=""L1176""",
O,1,"=""436.825""","=""0.010""","=""100""","=""2.27e+06""",B,"=""9.5213638""","=""12.3588649""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""",,"=""T5803n,LS""","=""L3760""",
C,2,"=""436.826""","=""0.004""","=""66u*""","=""1.05e+08""",C+,"=""24.653514""","=""27.490999""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2D""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""436.826""","=""0.004""","=""66u*""","=""3.2e+07""",C,"=""24.653514""","=""27.490983""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
O,2,"=""436.9275""","=""0.0010""","=""13""","=""1.43e+08""",B,"=""26.2254001""","=""29.0622429""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T6172n""","=""L10621""",
C,2,"=""436.9857""","=""0.0007""","=""29""","=""5.8e+07""",C,"=""24.656151""","=""27.492608""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""1/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.0661""","=""0.0017""","=""20h""","=""2.6e+07""",C,"=""24.657857""","=""27.493785""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4f""","=""2D""","=""3/2""",,"=""T10528""","=""L1176""",
C,1,"=""437.13814""","=""0.00003""","=""33000""","=""3.81e+06""",B,"=""7.68476777""","=""10.52024138""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.5p""","=""1P""","=""1""",,"=""T5520""","=""L12175c183""",
C,2,"=""437.235""","=""0.004""","=""75u*""","=""2.14e+08""",C+,"=""24.656151""","=""27.490999""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""2D""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.235""","=""0.004""","=""75u*""","=""3.37e+08""",C+,"=""24.656151""","=""27.490983""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.249""","=""0.004""","=""120u*""","=""2.90e+08""",C+,"=""24.657857""","=""27.492608""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4f""","=""4D""","=""1/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.249""","=""0.004""","=""120u*""","=""2.11e+08""",C+,"=""24.653514""","=""27.488250""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.4272""","=""0.0007""","=""190""","=""1.38e+09""",B,"=""24.653514""","=""27.487106""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.5009""","=""0.0007""","=""50""","=""2.62e+08""",C+,"=""24.657857""","=""27.490983""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""437.6562""","=""0.0017""","=""61h""","=""7.14e+08""",B+,"=""24.656151""","=""27.488250""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",,"=""T2440""","=""L1176""",
O,2,"=""439.5942""","=""0.0010""","=""15""","=""2.35e+08""",B,"=""26.2490334""","=""29.0686699""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172n""","=""L10621""",
O,2,"=""440.5987""","=""0.0010""","=""8""","=""1.72e+07""",B,"=""26.2490334""","=""29.0622429""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T6172n""","=""L10621""",
C,2,"=""440.9979""","=""0.0007""","=""100""","=""1.18e+09""",B,"=""24.602961""","=""27.413617""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2F""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""441.1163""","=""0.0007""","=""140""","=""1.12e+09""",B+,"=""24.601624""","=""27.411529""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4f""","=""2F""","=""5/2""",,"=""T2440""","=""L1176""",
C,2,"=""441.1506""","=""0.0007""","=""160""","=""4.24e+08""",C+,"=""24.602961""","=""27.412647""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4F""","=""7/2""",,"=""T10528""","=""L1176""",
O,2,"=""441.4905""","=""0.0010""","=""27""","=""5.08e+08""",B,"=""23.4415082""","=""26.2490334""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""441.6974""","=""0.0010""","=""25""","=""2.86e+08""",B,"=""23.4191946""","=""26.2254001""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
Ca,1,"=""442.544""","=""0.010""","=""25""","=""1.49e+08""",C,"=""1.8793402""","=""4.6801799""","=""3p6.4s.4p""","=""3P*""","=""0""","=""3p6.4s.4d""","=""3D""","=""1""",,"=""T8043""","=""L6097""",
Ca,1,"=""443.496""","=""0.010""","=""26""","=""3.4e+08""",C,"=""1.8858075""","=""4.6806350""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.4d""","=""3D""","=""2""",,"=""T8043""","=""L6097""",
Ca,1,"=""443.569""","=""0.010""","=""25""","=""1.03e+08""",C,"=""1.8858075""","=""4.6801799""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.4d""","=""3D""","=""1""",,"=""T8043""","=""L6097""",
O,2,"=""445.2375""","=""0.0010""","=""18""","=""5.48e+07""",B,"=""23.4415082""","=""26.2254001""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
Ca,1,"=""445.478""","=""0.010""","=""30""","=""6.1e+08""",C,"=""1.8989349""","=""4.6813270""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.4d""","=""3D""","=""3""",,"=""T8043""","=""L6097""",
Ca,1,"=""445.589""","=""0.010""","=""28""","=""1.0e+08""",C,"=""1.8989349""","=""4.6806350""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.4d""","=""3D""","=""2""",,"=""T8043""","=""L6097""",
Ca,1,"=""445.661""","=""0.010""","=""20""","=""7.35e+06""",C+,"=""1.8989349""","=""4.6801799""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.4d""","=""3D""","=""1""",,"=""T539n,T654n,LS""","=""L6097""",
O,2,"=""446.6241""","=""0.0010""","=""15""","=""3.60e+08""",C+,"=""28.591928""","=""31.367183""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""446.7475""","=""0.0010""","=""13""","=""1.80e+08""",C+,"=""28.591928""","=""31.366419""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""456.3178""","=""0.0010""","=""4""","=""2.87e+06""",C,"=""26.2254001""","=""28.941697""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""L10621""",
Ca,1,"=""457.855""","=""0.010""","=""22""","=""8.80e+07""",C,"=""2.5212633""","=""5.2284402""","=""3p6.3d.4s""","=""3D""","=""1""","=""3p6.4s.4f""","=""3F*""","=""2""",,"=""T539n,LS""","=""L6097""",
Ca,1,"=""458.140""","=""0.010""","=""23""","=""1.46e+08""",C,"=""2.5229867""","=""5.2284828""","=""3p6.3d.4s""","=""3D""","=""2""","=""3p6.4s.4f""","=""3F*""","=""3""",,"=""T539n,LS""","=""L6097""",
Ca,1,"=""458.587""","=""0.010""","=""24""","=""2.06e+08""",C,"=""2.5256821""","=""5.2285409""","=""3p6.3d.4s""","=""3D""","=""3""","=""3p6.4s.4f""","=""3F*""","=""4""",,"=""T539n,LS""","=""L6097""",
O,2,"=""459.0972""","=""0.0010""","=""22""","=""7.08e+08""",B+,"=""25.661218""","=""28.361069""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""",,"=""T6172n""","=""L10621""",
O,2,"=""459.5960""","=""0.0010""","=""7""","=""2.92e+07""",B,"=""25.661218""","=""28.358142""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""",,"=""T6172n""","=""L10621""",
O,2,"=""459.6175""","=""0.0010""","=""20""","=""5.00e+08""",B+,"=""25.661347""","=""28.358142""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""",,"=""T6172n""","=""L10621,L3448""",
O,2,"=""460.3228""","=""0.0010""","=""3""","=""1.45e+06""",C,"=""26.2490334""","=""28.941697""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""L10621""",
C,2,"=""461.840""","=""0.009""","=""87h,u""","=""1.54e+09""",B+,"=""24.789558""","=""27.473311""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2G""","=""7/2""",,"=""T2440""","=""L1176""",
C,2,"=""461.923""","=""0.009""","=""150h,u""","=""2.06e+09""",B,"=""24.794748""","=""27.478084""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2G""","=""9/2""",,"=""T10528""","=""L1176""",
C,2,"=""462.035""","=""0.003""","=""70*""","=""6.66e+07""",B,"=""20.844765""","=""23.527471""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""7/2""",,"=""T7476""","=""L21568""",
C,2,"=""462.556""","=""0.003""","=""47h""","=""1.42e+08""",C+,"=""24.789558""","=""27.469200""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4G""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""462.744""","=""0.004""","=""28h""","=""7.51e+07""",C+,"=""24.794748""","=""27.473311""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2G""","=""7/2""",,"=""T2440""","=""L1176""",
C,2,"=""462.998""","=""0.004""","=""36h""","=""1.04e+08""",C+,"=""24.794748""","=""27.471868""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4G""","=""9/2""",,"=""T10528""","=""L1176""",
C,2,"=""463.763""","=""0.004""","=""32hql""","=""1.83e+07""",B,"=""20.149652""","=""22.822350""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""463.88550""","=""0.00010""","=""20""","=""1.44e+08""",B,"=""22.9662478""","=""25.6382319""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",,"=""T6172,T6632""","=""L6915""",
C,2,"=""463.891""","=""0.004""","=""35hql""","=""3.29e+07""",B,"=""20.150477""","=""22.822436""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""464.18104""","=""0.00010""","=""22""","=""3.51e+08""",B,"=""22.9793029""","=""25.6495863""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",,"=""T6172,T6632""","=""L6915""",
O,2,"=""464.91348""","=""0.00010""","=""24""","=""6.27e+08""",B,"=""22.9989602""","=""25.6650368""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""",,"=""T6172,T6632""","=""L6915""",
O,2,"=""465.08394""","=""0.00010""","=""20""","=""1.34e+08""",B,"=""22.9662478""","=""25.6313478""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",,"=""T6172,T6632""","=""L6915""",
O,2,"=""466.16332""","=""0.00010""","=""21""","=""1.62e+08""",B,"=""22.9793029""","=""25.6382319""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",,"=""T6172,T6632""","=""L6915""",
O,2,"=""467.37322""","=""0.00010""","=""14""","=""2.48e+07""",B,"=""22.9793029""","=""25.6313478""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",,"=""T6172,T6632""","=""L6915""",
O,2,"=""467.62350""","=""0.00010""","=""20""","=""1.23e+08""",B,"=""22.9989602""","=""25.6495863""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",,"=""T6172,T6632""","=""L6915""",
O,2,"=""469.6347""","=""0.0010""","=""12*""","=""1.26e+07""",B,"=""22.9989602""","=""25.6382319""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""469.9220""","=""0.0010""","=""17""","=""5.62e+08""",B,"=""26.2254001""","=""28.8630624""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T6172""","=""L10621""",
O,2,"=""470.1184""","=""0.0010""","=""11""","=""3.69e+08""",C,"=""28.829685""","=""31.466247""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""470.5352""","=""0.0010""","=""21""","=""9.04e+08""",B,"=""26.2490334""","=""28.8832609""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""471.0012""","=""0.0010""","=""16""","=""1.79e+08""",C,"=""26.2254001""","=""28.8570199""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",,"=""T6172""","=""L10621""",
C,1,"=""473.4262""","=""0.0014""","=""15000""","=""1.3e+06""",C,"=""7.945771557""","=""10.56390942""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.5p""","=""3P""","=""2""",,"=""T5520LS""","=""L17684""",
C,2,"=""473.460""","=""0.009""","=""37h,bl""","=""4.1e+07""",C,"=""24.794748""","=""27.412647""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4F""","=""7/2""",,"=""T10528""","=""L1176""",
C,1,"=""473.5165""","=""0.0014""","=""3200""","=""2.3e+05""",C,"=""7.94627046""","=""10.56390942""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.5p""","=""3P""","=""2""",,"=""T5520LS""","=""L17684""",
C,2,"=""473.5460""","=""0.0020""","=""25""","=""3.62e+04""",B+,"=""13.715650""","=""16.3331238""","=""2s.2p2""","=""2P""","=""1/2""","=""2s2.3p""","=""2P*""","=""3/2""",,"=""T7194""","=""L1176""",
C,2,"=""473.7970""","=""0.0010""","=""18""","=""1.09e+05""",B+,"=""13.715650""","=""16.3317419""","=""2s.2p2""","=""2P""","=""1/2""","=""2s2.3p""","=""2P*""","=""1/2""",,"=""T7194""","=""L1176""",
C,1,"=""473.8213""","=""0.0014""","=""3000""","=""2.3e+05""",C,"=""7.94613476""","=""10.56208579""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.5p""","=""3P""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""473.8466""","=""0.0014""","=""6800""","=""6.9e+05""",C,"=""7.94627046""","=""10.56208579""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.5p""","=""3P""","=""1""",,"=""T5520LS""","=""L17684""",
O,2,"=""474.1707""","=""0.0010""","=""10""","=""3.04e+07""",C+,"=""26.2490334""","=""28.8630624""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T6172,T6632""","=""L10621""",
C,1,"=""474.2570""","=""0.0014""","=""4200""","=""3.0e+05""",C,"=""7.94613476""","=""10.559692""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.5p""","=""3P""","=""0""",,"=""T5520LS""","=""L17684""",
C,2,"=""474.4770""","=""0.0010""","=""30""","=""2.39e+05""",B+,"=""13.720784""","=""16.3331238""","=""2s.2p2""","=""2P""","=""3/2""","=""2s2.3p""","=""2P*""","=""3/2""",,"=""T7194""","=""L1176""",
C,2,"=""474.7280""","=""0.0020""","=""24""","=""4.66e+04""",B+,"=""13.720784""","=""16.3317419""","=""2s.2p2""","=""2P""","=""3/2""","=""2s2.3p""","=""2P*""","=""1/2""",,"=""T7194""","=""L1176""",
O,2,"=""475.1271""","=""0.0010""","=""14""","=""5.11e+07""",C,"=""26.2490334""","=""28.8577953""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",,"=""T6172""","=""L10621""",
O,2,"=""475.2681""","=""0.0010""","=""9""","=""8.70e+06""",C,"=""26.2490334""","=""28.8570199""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",,"=""T6172""","=""L10621""",
C,1,"=""476.23033""","=""0.00011""","=""28000bl""","=""1.0e+06""",C,"=""7.48039414""","=""10.083115460""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3P""","=""1""",,"=""T6070n""","=""L12175c183""",
C,1,"=""476.25252""","=""0.00005""","=""31000q""","=""1.4e+06""",C,"=""7.48277598""","=""10.085377438""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""2""",,"=""T6070n""","=""L12175c183""",
C,1,"=""476.66698""","=""0.00014""","=""22000q""","=""7.2e+05""",C,"=""7.48277598""","=""10.083115460""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""1""",,"=""T6070n""","=""L12175c183""",
C,1,"=""477.002392""","=""0.000023""","=""24000""","=""1.1e+06""",C,"=""7.48277598""","=""10.08128590""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""0""",,"=""T6070n""","=""L12175c183""",
C,1,"=""477.173346""","=""0.000016""","=""69000""","=""4.0e+06""",C,"=""7.48779869""","=""10.085377438""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3P""","=""2""",,"=""T6070n""","=""L12175c183""",
C,1,"=""477.5907""","=""0.0014""","=""34000""","=""1.4e+06""",C,"=""7.48779869""","=""10.083115460""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3P""","=""1""",,"=""T6070n""","=""L17684""",
C,2,"=""480.245""","=""0.003""","=""43*""","=""6.11e+07""",B,"=""20.950654""","=""23.531603""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.8g""","=""2G""","=""9/2""",,"=""T7476""","=""L21568,L1176""",
C,1,"=""481.2916""","=""0.0014""","=""5300""","=""1.2e+05""",C,"=""7.48039414""","=""10.055746371""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3S""","=""1""",,"=""T6070n""","=""L17684""",
C,1,"=""481.7371""","=""0.0014""","=""15000""","=""2.6e+05""",C,"=""7.48277598""","=""10.055746371""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3S""","=""1""",,"=""T6070n""","=""L17684""",
C,1,"=""482.6804""","=""0.0014""","=""10000""","=""1.9e+05""",C,"=""7.48779869""","=""10.055746371""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3S""","=""1""",,"=""T6070n""","=""L17684""",
O,2,"=""485.6395""","=""0.0010""","=""11""","=""3.35e+07""",C,"=""26.3047208""","=""28.8570199""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",,"=""T6172""","=""L10621""",
O,2,"=""485.6758""","=""0.0010""","=""13""","=""4.00e+07""",C,"=""26.3047208""","=""28.8568239""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T6172""","=""L10621""",
O,2,"=""486.0968""","=""0.0010""","=""12""","=""1.88e+08""",C,"=""28.823901""","=""31.373797""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
C,2,"=""486.2570""","=""0.0010""","=""29""","=""9.36e+06""",B,"=""19.494538""","=""22.043587""","=""2s2.4s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""486.4879""","=""0.0010""","=""11""","=""1.61e+07""",C,"=""26.3047208""","=""28.8525664""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T6172""","=""L10621""",
C,2,"=""486.7070""","=""0.0020""","=""17""","=""4.66e+06""",B,"=""19.494538""","=""22.041235""","=""2s2.4s""","=""2S""","=""1/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""487.1520""","=""0.0010""","=""15""","=""3.36e+08""",C,"=""28.829685""","=""31.374055""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5723LS""","=""L10621""",
