element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ca,1,"=""220.073""","=""0.010""","=""5""","=""4.59e+07""",C,"=""0.0000000""","=""5.6320266""","=""3p6.4s2""","=""1S""","=""0""","=""3p6.4s.7p""","=""1P*""","=""1""",,"=""T793n""","=""L6097""",
Ca,2,"=""220.861""","=""0.010""","=""""","=""1.2e+08""",C,"=""3.150984""","=""8.762908""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.6s""","=""2S""","=""1/2""",,"=""u7,LS""","=""L7323""",
C,2,"=""224.105""","=""0.006""","=""40h*""","=""3.42e+07""",B,"=""23.116074""","=""28.64691""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""224.105""","=""0.006""","=""40h*""","=""3.42e+07""",B,"=""23.118841""","=""28.64930""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""224.210""","=""0.004""","=""39h""","=""7.98e+07""",B,"=""23.118841""","=""28.64691""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""225.523""","=""0.004""","=""30h""","=""6.8e+07""",C,"=""23.114048""","=""28.60995""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""225.568""","=""0.004""","=""39h""","=""1.7e+08""",C,"=""23.116074""","=""28.61093""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""225.619""","=""0.006""","=""50h*""","=""7.6e+07""",C,"=""23.116074""","=""28.60995""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""225.619""","=""0.006""","=""50h*""","=""3.0e+08""",C,"=""23.118841""","=""28.61242""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""226.7770""","=""0.0020""","=""29""","=""4.53e+07""",B,"=""22.532400""","=""27.99786""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""226.8910""","=""0.0020""","=""38""","=""5.36e+07""",B,"=""22.529299""","=""27.99213""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""226.9360""","=""0.0020""","=""29""","=""4.18e+07""",B,"=""22.527518""","=""27.98922""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""226.9700""","=""0.0020""","=""49""","=""2.01e+08""",B,"=""22.536905""","=""27.99786""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""227.020""","=""0.006""","=""49*""","=""4.18e+07""",B,"=""22.529299""","=""27.98922""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""227.020""","=""0.006""","=""49*""","=""1.05e+08""",B,"=""22.532400""","=""27.99213""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
Ca,1,"=""227.546""","=""0.010""","=""6""","=""9.03e+07""",C+,"=""0.0000000""","=""5.4470569""","=""3p6.4s2""","=""1S""","=""0""","=""3p6.4s.np""","=""w 1P*""","=""1""",,"=""T134n,T654n""","=""L6097""",
O,2,"=""229.0839""","=""0.0010""","=""14""","=""2.96e+07""",C,"=""23.4191946""","=""28.829685""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",,"=""T6172n""","=""L10621""",
O,2,"=""229.3301""","=""0.0010""","=""15""","=""6.50e+07""",C,"=""23.4191946""","=""28.823901""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""",,"=""T6172n""","=""L10621""",
O,2,"=""230.0331""","=""0.0010""","=""17""","=""1.67e+08""",C,"=""23.4415082""","=""28.829685""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""",,"=""T6172n""","=""L10621""",
O,2,"=""230.2808""","=""0.0010""","=""14""","=""3.34e+07""",C,"=""23.4415082""","=""28.823901""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""",,"=""T6172n""","=""L10621""",
C,2,"=""232.352""","=""0.003""","=""2""","=""5.60e+00""",A,"=""0.0000000000""","=""5.33441""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",,"=""T7354n,T7194n""","=""L22145,L4509,L11613,L17711""",
C,2,"=""232.472""","=""0.003""","=""28""","=""1.20e+02""",A,"=""0.0000000000""","=""5.33167""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""4P""","=""1/2""",,"=""T7354n,T7194n""","=""L22145,L4509,L11613,L17711,L1122""",
C,2,"=""232.5407""","=""0.0024""","=""57""","=""2.66e+02""",A,"=""0.007859989""","=""5.33792""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""5/2""",,"=""T7049,T7354,T7194""","=""L22145,L4509,L11613,L17711,L1122""",
C,2,"=""232.697""","=""0.003""","=""9""","=""3.39e+01""",A,"=""0.007859989""","=""5.33441""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""3/2""",,"=""T7354n,T7194n""","=""L22145,L4509,L11613,L17711""",
C,2,"=""232.815""","=""0.003""","=""33""","=""1.36e+02""",A,"=""0.007859989""","=""5.33167""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""1/2""",,"=""T7354n,T7194n""","=""L22145,L4509,L11613,L17711,L1122""",
C,2,"=""237.508""","=""0.006""","=""72hql*""","=""1.1e+08""",C,"=""18.045807""","=""23.264628""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.7f""","=""2F*""","=""5/2""",,"=""T10276""","=""L1176""",
C,2,"=""237.508""","=""0.006""","=""72hql*""","=""1.6e+08""",C,"=""18.045987""","=""23.264631""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""7/2""",,"=""T10276""","=""L1176""",
C,2,"=""237.508""","=""0.006""","=""72hql*""","=""7.8e+06""",C,"=""18.045987""","=""23.264628""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""5/2""",,"=""T10276""","=""L1176""",
Ca,1,"=""239.856""","=""0.010""","=""8""","=""5.01e+07""",C+,"=""0.0000000""","=""5.1675384""","=""3p6.4s2""","=""1S""","=""0""","=""3p6.4s.6p""","=""1P*""","=""1""",,"=""T134n,T654n""","=""L6097""",
C,2,"=""240.1761""","=""0.0009""","=""120ql""","=""5.14e+07""",B,"=""16.3317419""","=""21.492405""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.5s""","=""2S""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""240.2402""","=""0.0009""","=""200ql""","=""1.03e+08""",B,"=""16.3331238""","=""21.492405""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.5s""","=""2S""","=""1/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""240.6391""","=""0.0010""","=""14""","=""7.40e+07""",C+,"=""25.661218""","=""30.811970""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""241.1622""","=""0.0010""","=""7*""","=""4.10e+07""",C+,"=""25.661347""","=""30.800949""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""242.5564""","=""0.0010""","=""15""","=""1.06e+08""",C+,"=""25.661218""","=""30.771222""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""",,"=""T5723LS""","=""L10621""",
C,2,"=""242.670""","=""0.004""","=""40ql*""","=""6.92e+06""",B,"=""18.045807""","=""23.15347""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.7p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""242.670""","=""0.004""","=""40ql*""","=""1.24e+07""",B,"=""18.045987""","=""23.15359""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.7p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""243.0780""","=""0.0020""","=""31""","=""2.68e+07""",B,"=""22.898766""","=""27.99786""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""243.212""","=""0.004""","=""24whu""","=""4.4e+07""",C,"=""24.274339""","=""29.37058""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""2s.2p.(3P*).6f""","=""2G""","=""9/2""",,"=""T10528""","=""L1176""",
